0	0	9	
0.01	0.09	9	
0.055	0.494989	8.99864	
0.0899574	0.809281	8.97395	
0.130636	1.17119	8.75778	
0.148711	1.32722	8.47883	
0.168857	1.49285	7.90898	
0.18678	1.62764	7.07192	
0.204702	1.74398	5.84026	
0.219144	1.81924	4.53645	
0.234079	1.87523	2.92029	
0.246641	1.9025	1.40352	
0.259202	1.91019	-0.184745	
0.269845	1.90105	-1.5262	
0.280488	1.8779	-2.81179	
0.29215	1.83742	-4.10657	
0.304707	1.778	-5.32399	
0.318195	1.69866	-6.40004	
0.332763	1.59859	-7.29284	
0.348693	1.47656	-7.98296	
0.366444	1.33014	-8.47167	
0.386783	1.15436	-8.77818	
0.41114	0.93829	-8.9366	
0.442964	0.652744	-8.99284	
0.482725	0.294975	-8.99994	
0.53007	-0.131131	-9	
0.562518	-0.42316	-8.99947	
0.598718	-0.748767	-8.98367	
0.636421	-1.08564	-8.84711	
0.658727	-1.28043	-8.58226	
0.678998	-1.44996	-8.09398	
0.697417	-1.5926	-7.33523	
0.71431	-1.70821	-6.29213	
0.731203	-1.80305	-4.87187	
0.744892	-1.86028	-3.45333	
0.758581	-1.89672	-1.84396	
0.770633	-1.90988	-0.332785	
0.782685	-1.90467	1.19425	
0.794737	-1.88133	2.66497	
0.806789	-1.84092	4.01597	
0.81928	-1.7829	5.24106	
0.832698	-1.70501	6.32887	
0.847181	-1.60645	7.23567	
0.863001	-1.48605	7.94046	
0.880601	-1.3415	8.44312	
0.900719	-1.16807	8.76168	
0.924715	-0.955487	8.92927	
0.955776	-0.676913	8.99109	
0.995261	-0.321645	8.9999	
1.04174	0.0966447	9	
1.07982	0.439397	8.99934	
1.11552	0.760481	8.98208	
1.15725	1.13268	8.8023	
1.17613	1.29673	8.54845	
1.19659	1.46678	8.02512	
1.21479	1.60624	7.2372	
1.23154	1.71899	6.16426	
1.24829	1.81066	4.71894	
1.26187	1.86527	3.28728	
1.27545	1.89913	1.6749	
1.28738	1.9102	0.174284	
1.29931	1.90326	-1.33447	
1.31123	1.87862	-2.78177	
1.32316	1.83739	-4.10737	
1.33571	1.77797	-5.32457	
1.3492	1.69862	-6.40054	
1.36377	1.59853	-7.29324	
1.3797	1.47649	-7.98326	
1.39745	1.33006	-8.47187	
1.41779	1.15426	-8.7783	
1.44215	0.938168	-8.93665	
1.47398	0.652572	-8.99285	
1.51375	0.294784	-8.99994	
1.5611	-0.131381	-9.00001	
1.5935	-0.422994	-8.99948	
1.6297	-0.748642	-8.98369	
1.6674	-1.0855	-8.84723	
1.68972	-1.28035	-8.58242	
1.70999	-1.44989	-8.09426	
1.72841	-1.59254	-7.33564	
1.7453	-1.70816	-6.29266	
1.7622	-1.80301	-4.87252	
1.77588	-1.86026	-3.45403	
1.78957	-1.8967	-1.84468	
1.80163	-1.90988	-0.333462	
1.81368	-1.90468	1.19365	
1.82573	-1.88134	2.66447	
1.83778	-1.84093	4.01558	
1.85028	-1.78292	5.2407	
1.86369	-1.70503	6.32856	
1.87818	-1.60648	7.23542	
1.894	-1.48609	7.94028	
1.91159	-1.34155	8.443	
1.93171	-1.16813	8.76161	
1.95571	-0.955561	8.92924	
1.98676	-0.677016	8.99109	
2	-0.557967	8.99721	
